Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 03:50:27.693340: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 279 Term Loss -0.172526, Default Loss -79.153152, Reward 0.900000
Epoch 01 Step 280 Term Loss -0.173024, Default Loss -79.161270, Reward 0.900000
Epoch 01 Step 281 Term Loss -0.172572, Default Loss -79.171104, Reward -13.000000
Epoch 01 Step 282 Term Loss -0.172240, Default Loss -79.164299, Reward -13.000000
Epoch 01 Step 283 Term Loss -0.172483, Default Loss -79.150826, Reward -13.000000
Epoch 01 Step 284 Term Loss -0.173237, Default Loss -79.140457, Reward -13.000000
Epoch 01 Step 285 Term Loss -0.172127, Default Loss -79.137856, Reward 0.900000
Epoch 01 Step 286 Term Loss -0.171562, Default Loss -79.142746, Reward 0.900000
Epoch 01 Step 287 Term Loss -0.171575, Default Loss -79.153236, Reward 0.900000
Epoch 01 Step 288 Term Loss -0.172108, Default Loss -79.168213, Reward 0.900000
